ranker,name_display,age,team_name_abbr,pos,games,games_started,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,awards
469,Jimmer Fredette,26.0,NOP,SG,4,0,13.0,0.25,11.0,0.75,0.25,0.5,0.0,0.0,0.25,.333,1.000,.000,,,.000,1.0,0.0,0.0,0,0.0,,0,0,
469,Jimmer Fredette,26.0,NYK,SG,2,0,5.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1.000,0.0,1.0,0.0,0,0.0,,0,0,
470,Joe Harris,24.0,CLE,SG,5,0,15.0,0.25,25.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,.250,0.0,1.0,0.0,0,0.25,1.000,0,0,
471,Jordan Adams,21.0,MEM,SG,2,0,15.0,0.333,10.8,0.833,0.333,0.0,0.5,0.0,0.167,.400,.500,,.333,,.000,0.5,0.0,0.0,0,0.0,,0,0,
472,Coty Clarke,23.0,BOS,SF,3,0,6.0,0.5,17.0,0.5,0.0,0.25,0.0,0.25,0.5,.000,,.000,,.000,1.000,0.0,1.0,0.0,0,0.5,1.000,0,0,
473,Sam Dekker,21.0,HOU,PF,3,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0,0.0,,0,0,
474,Thanasis Antetokounmpo,23.0,NYK,SF,2,0,6.0,0.75,7.0,0.75,0.75,0.0,0.0,0.0,0.25,1.000,1.000,,,,.000,0.333,0.0,0.5,2,0.0,,0,0,
475,J.J. O'Brien,23.0,UTA,SF,2,0,6.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,.000,,.000,,,,0.0,0.0,0.0,0,0.0,,0,0,
476,Rakeem Christmas,24.0,IND,PF,1,0,6.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.000,1.000,,,,,1.0,0.0,0.0,0,0.0,,0,0,
,League Average,0.0,,,,,0.0,0.452,12.2,0.715,0.293,0.158,0.103,0.162,0.285,.491,.624,.396,.405,.398,.354,0.51,0.836,0.048,,0.248,.377,,,
